id,type,src,dst,app,latency,message,ctime,size,buffer
80,LINK,3,0,water_pipe_control,6.0,cloudlet_to_cloud,920.0005,20000000,11
75,LINK,1,4,water_pipe_control,10.00025,cloudlet_to_valve,925.0005,5000,9
75,LINK,1,0,water_pipe_control,6.0,cloudlet_to_cloud,925.0005,20000000,10
78,LINK,2,7,water_pipe_control,10.00025,cloudlet_to_valve,925.0005,5000,11
78,LINK,2,0,water_pipe_control,6.0,cloudlet_to_cloud,925.0005,20000000,12
81,LINK,3,10,water_pipe_control,10.00025,cloudlet_to_valve,925.0005,5000,13
81,LINK,3,0,water_pipe_control,6.0,cloudlet_to_cloud,925.0005,20000000,14
82,LINK,4,1,water_pipe_control,10.0005,sensor_to_cloudlet,1000,10000,0
83,LINK,5,1,water_pipe_control,10.0005,sensor_to_cloudlet,1000,10000,1
84,LINK,6,1,water_pipe_control,10.0005,sensor_to_cloudlet,1000,10000,2
85,LINK,7,2,water_pipe_control,10.0005,sensor_to_cloudlet,1000,10000,3
86,LINK,8,2,water_pipe_control,10.0005,sensor_to_cloudlet,1000,10000,4
87,LINK,9,2,water_pipe_control,10.0005,sensor_to_cloudlet,1000,10000,5
88,LINK,10,3,water_pipe_control,10.0005,sensor_to_cloudlet,1000,10000,6
89,LINK,11,3,water_pipe_control,10.0005,sensor_to_cloudlet,1000,10000,7
90,LINK,12,3,water_pipe_control,10.0005,sensor_to_cloudlet,1000,10000,8
82,LINK,1,4,water_pipe_control,10.00025,cloudlet_to_valve,1015.0005,5000,0
82,LINK,1,0,water_pipe_control,6.0,cloudlet_to_cloud,1015.0005,20000000,1
85,LINK,2,7,water_pipe_control,10.00025,cloudlet_to_valve,1015.0005,5000,2
85,LINK,2,0,water_pipe_control,6.0,cloudlet_to_cloud,1015.0005,20000000,3
88,LINK,3,10,water_pipe_control,10.00025,cloudlet_to_valve,1015.0005,5000,4
88,LINK,3,0,water_pipe_control,6.0,cloudlet_to_cloud,1015.0005,20000000,5
83,LINK,1,4,water_pipe_control,10.00025,cloudlet_to_valve,1020.0005,5000,6
83,LINK,1,0,water_pipe_control,6.0,cloudlet_to_cloud,1020.0005,20000000,7
86,LINK,2,7,water_pipe_control,10.00025,cloudlet_to_valve,1020.0005,5000,8
86,LINK,2,0,water_pipe_control,6.0,cloudlet_to_cloud,1020.0005,20000000,9
89,LINK,3,10,water_pipe_control,10.00025,cloudlet_to_valve,1020.0005,5000,10
89,LINK,3,0,water_pipe_control,6.0,cloudlet_to_cloud,1020.0005,20000000,11
84,LINK,1,4,water_pipe_control,10.00025,cloudlet_to_valve,1025.0005,5000,9
84,LINK,1,0,water_pipe_control,6.0,cloudlet_to_cloud,1025.0005,20000000,10
87,LINK,2,7,water_pipe_control,10.00025,cloudlet_to_valve,1025.0005,5000,11
87,LINK,2,0,water_pipe_control,6.0,cloudlet_to_cloud,1025.0005,20000000,12
90,LINK,3,10,water_pipe_control,10.00025,cloudlet_to_valve,1025.0005,5000,13
90,LINK,3,0,water_pipe_control,6.0,cloudlet_to_cloud,1025.0005,20000000,14
91,LINK,4,1,water_pipe_control,10.0005,sensor_to_cloudlet,1100,10000,0
92,LINK,5,1,water_pipe_control,10.0005,sensor_to_cloudlet,1100,10000,1
93,LINK,6,1,water_pipe_control,10.0005,sensor_to_cloudlet,1100,10000,2
94,LINK,7,2,water_pipe_control,10.0005,sensor_to_cloudlet,1100,10000,3
95,LINK,8,2,water_pipe_control,10.0005,sensor_to_cloudlet,1100,10000,4
96,LINK,9,2,water_pipe_control,10.0005,sensor_to_cloudlet,1100,10000,5
97,LINK,10,3,water_pipe_control,10.0005,sensor_to_cloudlet,1100,10000,6
98,LINK,11,3,water_pipe_control,10.0005,sensor_to_cloudlet,1100,10000,7
99,LINK,12,3,water_pipe_control,10.0005,sensor_to_cloudlet,1100,10000,8
